Country,City,Country_Population,Total_Day_Lockdown,Avg_Pollution_2020,Avg_Pollution_2019,Development,Total_Case,Total_Death,Latitude,Longitude,Change
United Arab Emirates,Dubai,9890400,23,86,95,1,22627,214,23.424076,53.847818,1
Argentina,Buenos Aires,45195777,60,35.9,35,0,7792,363,-38.416097,-63.616672,0
Austria,Vienna,9006400,29,44,50,1,16140,628,47.516231,14.550072,1
Australia,Melbourne,25499881,56,31,28,1,7036,98,-25.274398,133.775136,0
Bangladesh,Dhaka,25499881,31,175,210,0,7036,98,23.684994,90.356331,1
Belgium,Brussels,11589616,33,41,49,1,54989,9005,50.503887,4.469936,1
Brazil,Sao Paulo,212559409,55,44,49,0,233142,15633,-14.235004,-51.92528,1
Switzerland,Zurich,8654618,56,2,3,1,30489,1601,46.818188,8.227512,1
Chile,Santiago,19116209,60,66,61,1,41428,421,-35.675147,-71.542969,0
China,Wuhan,1439323774,77,105,139,0,84044,4638,35.86166,104.195397,1
Colombia,Bogota,50882884,48,140,70,0,14939,562,4.570868,-74.297333,0
Costa Rica,San Hose,5094114,58,35,36,1,853,10,9.748917,-83.753428,1
Czech Republic,Prague,10708982,28,43,53,1,8455,296,49.817492,15.472962,1
Germany,Berlin,83783945,49,37,54,1,174355,7914,51.165691,10.451526,1
Denmark,Copenhang,5792203,34,33,29,1,10858,543,56.26392,9.501785,0
Algeria,Algiers,43851043,53,71,68,0,6821,542,28.033886,1.659626,0
Ecuador,Quito,17643060,16,47,58,0,32763,2688,-1.831239,-78.183406,1
Spain,Madrid,46754783,57,40,46,1,231350,27650,40.463667,-3.74922,1
Finland,Helsinki,5540718,21,19,24,1,6286,297,61.92411,25.748151,1
France,Paris,65273512,56,46,58,1,142291,27625,46.227638,2.213749,1
United Kingdom,London,67886004,56,39,38,1,240161,34466,55.378051,-3.435973,0
Greece,Athens,10423056,43,48,48,1,2819,162,39.074208,21.824312,0
Croatia,Rijeka,4105268,33,42,39,1,2224,95,45.1,15.2,0
Hungary,Budapest,9660350,14,57,43,1,3509,451,47.162494,19.503304,0
Ireland,Dublin,4937796,67,28,39,1,24048,1533,53.41291,-8.24389,1
India,New Delhi,1380004385,54,154,217,0,90927,2872,20.593684,78.96288,1
Iraq,Baghdad,40222503,21,93,77,0,3260,121,33.223191,43.679291,0
Italy,Milan,60461828,56,83,94,1,224760,31763,41.87194,12.56738,1
Kuwait,Hawally,4270563,16,98,102,1,13802,107,29.31166,47.481766,1
Lithuania,Kaunas,2722291,43,44,58,1,1534,55,55.169438,23.881275,1
Mongolia,Ulan Bator,3278292,7,129,192,0,136,0,46.862496,103.846656,1
Netherlands,Amsterdam,17134873,44,40,50,1,43870,5670,52.132633,5.291266,1
Norway,Oslo,5421242,33,26,36,1,8197,232,60.472024,8.468946,1
Nepal,Kathmandu,29136808,23,120,122,0,291,1,28.394857,84.124008,1
New Zealand,Wellington,4822233,50,27,24,1,1149,21,-40.900557,174.885971,0
Peru,Lima,32971846,63,56,53,0,88541,2523,-9.189967,-75.015152,0
Pakistan,Islamabad,220892331,47,105,86,0,0,0,30.375321,69.345116,0
Poland,Warsaw,37846605,30,62,73,1,18257,915,51.919438,19.145136,1
Portugal,Lisbon,10196707,15,40,47,1,28810,1203,39.399872,-8.224454,1
Serbia,Belgrade,6804596,51,82,91,0,10496,228,44.016521,21.005859,1
Russia,Moscow,145934460,44,35,36,0,272043,2537,61.52401,105.318756,1
Singapore,Singapore,5935053,41,42,50,1,27356,22,1.352083,103.819836,1
Slovakia,Bratislava,5459643,38,57,55,1,1493,28,48.669026,19.699024,0
Thailand,Bangkok,69799978,54,87,96,0,3028,56,15.870032,100.992541,1
Turkey,Istanbul,84339067,15,64,72,0,148067,4096,38.963745,35.243322,1
Ukraine,Kyiv,43733759,39,42,43,0,17858,497,48.379433,31.16558,1
United States,NewYork-Manhattan,331002647,43,28,34,1,1467884,88754,37.09024,-95.712891,1
